sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
1992-07-13;;;;164,52;164,52;164,52;;;;0;
1992-07-10;;;;166,94;166,94;166,94;;;;0;
1992-07-09;;;;164,77;164,77;164,77;;;;0;
1992-07-08;;;;163,74;163,74;163,74;;;;0;
1992-07-07;;;;165,71;165,71;165,71;;;;0;
1992-07-06;;;;167,63;167,63;167,63;;;;0;
1992-07-03;;;;169,57;169,57;169,57;;;;0;
1992-07-02;;;;169,93;169,93;169,93;;;;0;
1992-07-01;;;;167,46;167,46;167,46;;;;0;
1992-06-30;;;;169,00;169,00;169,00;;;;0;
1992-06-29;;;;168,46;168,46;168,46;;;;0;
1992-06-26;;;;170,41;170,41;170,41;;;;0;
1992-06-25;;;;171,30;171,30;171,30;;;;0;
1992-06-24;;;;172,40;172,40;172,40;;;;0;
1992-06-23;;;;171,06;171,06;171,06;;;;0;
1992-06-22;;;;171,28;171,28;171,28;;;;0;
1992-06-18;;;;171,93;171,93;171,93;;;;0;
1992-06-17;;;;174,11;174,11;174,11;;;;0;
1992-06-16;;;;176,31;176,31;176,31;;;;0;
1992-06-15;;;;175,96;175,96;175,96;;;;0;
1992-06-12;;;;174,85;174,85;174,85;;;;0;
1992-06-11;;;;177,23;177,23;177,23;;;;0;
1992-06-10;;;;177,70;177,70;177,70;;;;0;
1992-06-09;;;;177,60;177,60;177,60;;;;0;
1992-06-05;;;;180,21;180,21;180,21;;;;0;
1992-06-04;;;;181,26;181,26;181,26;;;;0;
1992-06-03;;;;181,92;181,92;181,92;;;;0;
1992-06-02;;;;183,77;183,77;183,77;;;;0;
1992-06-01;;;;185,04;185,04;185,04;;;;0;
1992-05-29;;;;183,16;183,16;183,16;;;;0;
1992-05-27;;;;181,71;181,71;181,71;;;;0;
1992-05-26;;;;182,73;182,73;182,73;;;;0;
1992-05-25;;;;184,29;184,29;184,29;;;;0;
1992-05-22;;;;185,00;185,00;185,00;;;;0;
1992-05-21;;;;184,73;184,73;184,73;;;;0;
1992-05-20;;;;184,65;184,65;184,65;;;;0;
1992-05-19;;;;183,88;183,88;183,88;;;;0;
1992-05-18;;;;183,60;183,60;183,60;;;;0;
1992-05-15;;;;180,51;180,51;180,51;;;;0;
1992-05-14;;;;182,98;182,98;182,98;;;;0;
1992-05-13;;;;184,39;184,39;184,39;;;;0;
1992-05-12;;;;183,72;183,72;183,72;;;;0;
1992-05-11;;;;184,66;184,66;184,66;;;;0;
1992-05-08;;;;183,98;183,98;183,98;;;;0;
1992-05-07;;;;184,14;184,14;184,14;;;;0;
1992-05-06;;;;183,46;183,46;183,46;;;;0;
1992-05-05;;;;181,50;181,50;181,50;;;;0;
